job,marital,education,housing,approval,age,balance,duration,campaign
10,1,0,0,0,30.0,1787,79.0,1
7,1,1,1,0,33.0,4789,220.0,1
4,2,2,1,0,35.0,1350,185.0,1
4,1,2,1,0,30.0,1476,199.0,4
1,1,1,1,0,59.0,0,226.0,1
4,2,2,0,0,35.0,747,141.0,2
6,1,2,1,0,36.0,307,341.0,1
9,1,1,1,0,39.0,147,151.0,2
2,1,2,1,0,41.0,221,57.0,2
7,1,0,1,0,43.0,-88,313.0,1
7,1,1,1,0,39.0,9374,273.0,1
0,1,1,1,0,43.0,264,113.0,2
9,1,2,0,0,36.0,1109,-328.0,2
8,2,1,0,1,20.0,502,261.0,1
1,1,1,1,0,31.0,360,89.0,1
4,1,2,0,0,40.0,194,189.0,2
9,1,1,0,0,56.0,4073,239.0,5
0,2,2,1,0,37.0,2317,114.0,1
1,2,0,2,0,25.0,-221,250.0,1
7,1,1,0,0,31.0,132,148.0,1
4,0,3,1,0,38.0,0,-96.0,2
4,0,2,0,0,42.0,16,140.0,3
7,2,1,0,0,44.0,106,109.0,2
2,1,1,0,0,44.0,93,125.0,2
3,1,2,0,0,26.0,543,169.0,3
4,1,2,0,0,41.0,5883,182.0,2
1,1,0,1,0,55.0,627,247.0,1
5,1,3,0,0,67.0,696,119.0,1
6,1,1,0,0,56.0,784,149.0,2
0,1,1,0,0,53.0,105,74.0,2
5,0,1,0,1,68.0,4189,897.0,2
9,1,1,0,0,31.0,171,81.0,3
4,1,1,0,0,59.0,42,40.0,1
4,2,2,1,1,32.0,2536,958.0,6
9,1,2,0,1,49.0,1235,354.0,3
0,0,1,1,0,42.0,1811,150.0,1
5,0,0,0,1,78.0,229,97.0,1
1,1,1,1,1,32.0,2089,132.0,1
4,1,1,1,1,0.0,3935,765.0,1
7,2,2,1,0,23.0,363,16.0,18
4,2,2,1,0,38.0,11971,609.0,2
4,2,2,0,0,36.0,553,106.0,2
1,1,1,1,0,52.0,1117,365.0,1
9,1,2,1,0,32.0,396,205.0,3
9,2,2,1,0,32.0,2204,11.0,4
4,2,2,1,0,34.0,872,105.0,2
1,1,0,0,0,55.0,145,59.0,3
1,1,0,1,0,26.0,0,425.0,1
2,2,0,1,0,32.0,-849,204.0,1
0,1,3,1,1,,4629,181.0,1
1,0,0,0,1,45.0,844,1018.0,3
9,2,1,1,0,37.0,228,1740.0,2
9,2,1,0,0,38.0,50,98.0,2
9,1,2,1,1,34.0,1539,441.0,1
1,1,1,1,0,53.0,2231,272.0,3
0,1,1,1,0,48.0,3064,159.0,2
4,1,1,0,0,57.0,82,140.0,1
6,2,2,0,0,33.0,2155,295.0,1
5,2,1,1,0,36.0,101,314.0,1
9,0,1,2,0,54.0,784,579.0,1
1,1,0,0,0,41.0,-516,554.0,3
5,1,1,1,0,63.0,415,323.0,1
4,1,2,0,0,48.0,5887,227.0,2
7,1,1,0,0,48.0,1355,134.0,2
0,1,1,0,0,56.0,16873,223.0,1
1,0,1,1,0,51.0,203,134.0,1
7,1,1,1,0,31.0,338,155.0,1
9,1,1,1,0,29.0,444,130.0,4
4,1,1,0,0,41.0,0,630.0,3
9,2,2,0,0,32.0,360,164.0,2
4,1,2,0,1,37.0,0,268.0,2
2,0,2,1,0,42.0,2,380.0,1
4,2,2,1,0,31.0,6248,154.0,2
7,1,2,1,0,41.0,412,154.0,5
5,1,1,1,0,56.0,344,221.0,1
4,0,2,0,0,54.0,3222,67.0,2
1,0,1,1,0,41.0,174,367.0,2
9,2,1,0,0,40.0,591,87.0,6
1,0,0,0,0,50.0,388,701.0,1
10,1,1,1,0,40.0,219,204.0,2
0,0,1,1,1,27.0,451,652.0,1
5,1,0,0,0,60.0,5,63.0,2
0,2,1,1,0,28.0,177,150.0,1
7,1,1,0,1,52.0,657,398.0,2
4,1,2,0,1,37.0,1315,224.0,1
1,1,0,1,0,51.0,1466,406.0,2
9,2,1,0,0,41.0,879,60.0,4
1,2,0,1,0,35.0,293,521.0,2
0,1,1,1,0,38.0,424,279.0,1
1,1,1,1,0,34.0,1831,203.0,2
1,1,0,0,0,39.0,111,201.0,2
1,1,0,2,0,34.0,455,372.0,3
7,2,1,1,1,27.0,-195,391.0,1
4,2,2,0,0,32.0,3616,165.0,2
1,1,1,0,0,57.0,14093,231.0,5
11,2,2,0,0,41.0,1567,291.0,2
0,1,2,1,0,41.0,5426,149.0,2
0,2,2,0,0,30.0,261,233.0,1
1,0,1,0,0,36.0,2843,473.0,1
10,2,0,0,1,31.0,406,736.0,1
1,1,1,1,0,36.0,0,337.0,1
4,2,2,1,0,38.0,493,553.0,1
9,1,1,0,0,49.0,5996,345.0,2
7,2,0,1,0,57.0,3777,65.0,2
4,2,1,0,0,34.0,524,9.0,1
4,2,2,1,0,32.0,574,259.0,2
1,1,1,1,0,37.0,427,371.0,3
6,1,2,1,0,33.0,483,280.0,2
10,1,0,0,1,56.0,3391,243.0,1
3,1,0,1,0,27.0,0,435.0,3
8,2,1,0,1,21.0,2488,258.0,6
4,1,2,1,0,58.0,1517,7.0,5
6,1,1,1,0,32.0,217,317.0,5
1,2,1,0,0,33.0,22,76.0,2
8,2,1,0,1,25.0,331,170.0,4
9,2,1,0,1,25.0,505,386.0,2
7,1,1,1,0,30.0,1808,83.0,2
0,2,1,0,0,22.0,4111,65.0,1
1,1,0,0,0,39.0,52,69.0,1
4,0,2,0,0,46.0,25,564.0,2
0,0,1,1,0,31.0,1890,588.0,1
1,1,0,0,0,45.0,419,113.0,4
9,1,1,1,0,32.0,2693,16.0,1
1,1,1,0,0,36.0,-231,779.0,2
4,2,2,1,0,51.0,-55,281.0,2
6,2,2,0,1,34.0,462,1877.0,3
10,2,1,0,0,24.0,119,51.0,1
9,2,1,0,0,45.0,586,32.0,3
1,2,1,0,0,32.0,228,176.0,1
5,0,2,0,1,77.0,4659,161.0,1
1,1,0,1,0,41.0,168,187.0,3
1,1,0,1,0,37.0,0,24.0,1
1,1,3,1,0,43.0,-715,67.0,3
0,1,3,1,0,48.0,0,85.0,1
9,2,1,1,0,27.0,769,317.0,2
4,2,2,0,0,33.0,0,-98.0,10
0,2,1,1,0,29.0,428,54.0,1
4,2,2,0,0,34.0,0,71.0,1
4,1,2,1,1,52.0,-970,489.0,1
4,1,3,0,0,60.0,6313,39.0,2
4,0,2,0,0,32.0,948,204.0,2
4,2,2,1,0,32.0,0,455.0,2
7,0,3,1,0,56.0,1877,86.0,1
4,2,2,1,0,31.0,874,190.0,2
0,1,1,1,0,42.0,323,280.0,2
4,1,2,0,0,35.0,106,588.0,2
5,1,0,0,0,56.0,1906,45.0,9
9,1,1,1,0,48.0,1152,168.0,5
0,1,1,1,0,46.0,179,194.0,4
9,2,3,1,0,37.0,391,103.0,3
2,1,3,1,0,41.0,89,333.0,2
4,2,2,1,0,36.0,442,102.0,3
10,0,0,1,0,45.0,-249,92.0,1
2,1,1,0,0,55.0,8104,213.0,2
9,1,1,0,0,39.0,501,289.0,1
9,0,1,0,0,35.0,308,77.0,2
0,1,1,0,1,55.0,602,324.0,3
9,1,1,1,0,55.0,273,84.0,3
6,2,1,0,0,27.0,50,168.0,1
9,1,1,1,0,34.0,1641,380.0,1
1,1,2,0,0,34.0,20,10.0,1
0,2,1,1,0,25.0,4590,199.0,2
0,2,1,0,0,41.0,-256,-35.0,3
7,1,1,1,0,43.0,978,82.0,2
4,2,2,0,1,28.0,80,676.0,2
0,2,1,1,0,31.0,2104,455.0,1
3,1,1,0,0,78.0,499,80.0,4
1,0,1,1,0,45.0,1269,549.0,2
9,1,2,0,0,48.0,310,135.0,1
1,2,1,1,0,32.0,1143,412.0,1
9,1,1,0,0,42.0,2980,101.0,3
4,2,2,0,0,37.0,37,253.0,2
0,2,1,1,0,40.0,462,272.0,1
0,1,1,1,0,32.0,1031,84.0,1
4,1,2,0,0,42.0,9009,135.0,2
0,1,1,1,0,43.0,-465,166.0,1
0,1,1,1,0,44.0,5181,18.0,7
0,1,1,1,0,37.0,176,147.0,2
11,1,3,0,0,37.0,1699,63.0,1
0,1,2,1,0,37.0,0,65.0,2
9,2,2,1,0,28.0,172,194.0,2
7,2,1,0,0,32.0,0,333.0,2
0,2,1,1,0,34.0,6979,14.0,5
0,0,1,0,0,40.0,6,140.0,1
7,1,1,1,0,34.0,-62,109.0,3
6,1,2,1,0,34.0,1972,61.0,2
0,1,2,1,0,34.0,899,377.0,3
7,2,1,1,0,37.0,21,96.0,1
9,1,1,1,0,36.0,23,152.0,2
5,1,1,1,1,56.0,-1206,382.0,2
