owner,brand,price,kilometer,age,power
1.0,19,35000.0,17654.0,3.0,110.0
1.0,17,119900.0,11000.0,4.0,350.0
1.0,20,600000.0,110.0,8.0,675.0
1.0,19,65000.0,16329.0,4.0,180.0
1.0,21,80000.0,10000.0,3.0,150.0
1.0,21,53499.0,25000.0,6.0,150.0
1.0,6,85000.0,8200.0,3.0,160.0
1.0,5,45000.0,12645.0,3.0,100.0
1.0,17,145000.0,9190.0,3.0,350.0
2.0,17,88000.0,19000.0,7.0,500.0
1.0,21,72000.0,20000.0,7.0,150.0
1.0,21,95000.0,9665.0,4.0,250.0
1.0,1,78000.0,9900.0,4.0,200.0
1.0,1,29499.0,20000.0,8.0,100.0
1.0,1,29900.0,20000.0,7.0,125.0
1.0,1,90000.0,11574.0,3.0,200.0
1.0,1,120000.0,23000.0,3.0,200.0
1.0,18,48000.0,24725.0,5.0,150.0
2.0,2,240000.0,15025.0,3.0,302.0
1.0,5,46500.0,3500.0,2.0,110.0
1.0,17,121700.0,24520.0,5.0,500.0
1.0,21,45000.0,23000.0,6.0,150.0
1.0,5,20000.0,29305.0,16.0,125.0
2.0,6,20800.0,30500.0,7.0,125.0
1.0,1,50000.0,19000.0,8.0,150.0
1.0,6,81200.0,9100.0,2.0,160.0
1.0,1,88000.0,21914.0,3.0,200.0
2.0,21,80000.0,20000.0,4.0,150.0
1.0,1,40900.0,15000.0,6.0,220.0
1.0,11,180000.0,17700.0,4.0,390.0
1.0,6,40000.0,30000.0,8.0,150.0
2.0,11,70000.0,100000.0,8.0,200.0
1.0,17,98800.0,39000.0,5.0,350.0
1.0,6,65000.0,43000.0,6.0,150.0
1.0,17,190500.0,4550.0,2.0,500.0
1.0,11,179000.0,3400.0,2.0,200.0
1.0,17,70000.0,45000.0,8.0,350.0
1.0,1,45000.0,36100.0,6.0,220.0
1.0,17,78000.0,8500.0,13.0,350.0
1.0,1,110000.0,2550.0,2.0,220.0
1.0,17,85000.0,18000.0,6.0,350.0
1.0,1,38000.0,35000.0,9.0,200.0
1.0,17,55346.0,38000.0,10.0,350.0
1.0,15,28000.0,45000.0,2.0,110.0
1.0,5,37000.0,10800.0,8.0,150.0
1.0,18,97000.0,4400.0,3.0,150.0
1.0,21,40000.0,357000.0,8.0,150.0
1.0,17,90000.0,15300.0,7.0,350.0
1.0,19,60000.0,30000.0,5.0,160.0
2.0,6,21900.0,30000.0,7.0,125.0
1.0,1,40000.0,64000.0,7.0,220.0
2.0,2,475000.0,11500.0,3.0,600.0
1.0,6,34500.0,17056.0,5.0,110.0
1.0,21,25000.0,172082.0,9.0,150.0
1.0,18,30200.0,45000.0,7.0,150.0
1.0,1,65000.0,35000.0,5.0,220.0
1.0,1,25000.0,38000.0,9.0,150.0
1.0,12,935000.0,2500.0,2.0,900.0
2.0,17,107100.0,15438.0,3.0,350.0
1.0,1,80000.0,6000.0,3.0,220.0
1.0,17,88000.0,19000.0,5.0,350.0
1.0,11,94700.0,32700.0,4.0,200.0
1.0,5,12200.0,46643.0,14.0,100.0
1.0,17,106000.0,19000.0,6.0,350.0
1.0,1,29500.0,40700.0,12.0,220.0
1.0,12,290000.0,11350.0,7.0,650.0
1.0,17,110000.0,1600.0,6.0,350.0
1.0,1,27000.0,44410.0,10.0,125.0
1.0,17,65000.0,9800.0,11.0,350.0
1.0,17,150000.0,15000.0,3.0,350.0
2.0,5,55786.0,68000.0,7.0,223.0
1.0,1,45000.0,17757.0,8.0,180.0
1.0,21,146000.0,3900.0,2.0,250.0
1.0,17,115000.0,23700.0,4.0,350.0
1.0,1,30000.0,8250.0,3.0,100.0
1.0,1,93100.0,10000.0,5.0,200.0
2.0,21,82000.0,4300.0,3.0,150.0
1.0,17,260000.0,3800.0,2.0,650.0
1.0,6,38000.0,33000.0,7.0,125.0
2.0,11,130000.0,17500.0,4.0,250.0
1.0,17,118000.0,19000.0,4.0,410.0
1.0,1,14700.0,10000.0,11.0,135.0
1.0,17,85000.0,54000.0,6.0,350.0
1.0,1,40000.0,27000.0,7.0,220.0
1.0,21,50000.0,19000.0,6.0,150.0
1.0,17,71800.0,43500.0,7.0,350.0
1.0,1,75000.0,11575.0,4.0,200.0
1.0,3,1350000.0,190.0,1.0,1100.0
1.0,20,790000.0,19000.0,3.0,765.0
1.0,1,47000.0,8600.0,4.0,150.0
1.0,1,60000.0,2000.0,2.0,150.0
1.0,18,96700.0,5100.0,1.0,150.0
1.0,5,31900.0,9000.0,5.0,100.0
1.0,1,35000.0,44480.0,13.0,150.0
1.0,11,240000.0,11000.0,3.0,390.0
1.0,6,68000.0,16000.0,7.0,250.0
1.0,1,80000.0,26691.0,5.0,200.0
1.0,17,135000.0,45000.0,5.0,350.0
3.0,1,11100.0,12000.0,12.0,150.0
1.0,2,480000.0,14200.0,4.0,600.0
1.0,18,65000.0,41000.0,3.0,150.0
1.0,21,60000.0,15000.0,5.0,150.0
1.0,6,80000.0,12314.0,4.0,150.0
1.0,5,46000.0,11760.0,3.0,100.0
1.0,17,95000.0,22000.0,11.0,500.0
1.0,7,400000.0,1800.0,4.0,650.0
1.0,1,55000.0,4400.0,4.0,150.0
1.0,21,63000.0,16000.0,5.0,150.0
1.0,1,51000.0,9000.0,4.0,150.0
1.0,19,69900.0,8700.0,3.0,160.0
1.0,1,125000.0,1342.0,4.0,200.0
1.0,2,210000.0,21000.0,6.0,300.0
1.0,6,35900.0,19000.0,5.0,125.0
1.0,6,67000.0,13000.0,9.0,250.0
1.0,5,29339.0,12771.0,4.0,100.0
1.0,5,19695.0,51576.0,6.0,100.0
1.0,5,48672.0,608.0,2.0,110.0
