age,job,marital,education,balance,duration,approval
30.0,unemployed,married,primary,1787,79.0,no
33.0,services,married,secondary,4789,220.0,no
35.0,management,single,tertiary,1350,185.0,no
30.0,management,married,tertiary,1476,199.0,no
59.0,blue-collar,married,secondary,0,226.0,no
35.0,management,single,tertiary,747,141.0,no
36.0,self-employed,married,tertiary,307,341.0,no
39.0,technician,married,secondary,147,151.0,no
41.0,entrepreneur,married,tertiary,221,57.0,no
43.0,services,married,primary,-88,313.0,no
39.0,services,married,secondary,9374,273.0,no
43.0,admin.,married,secondary,264,113.0,no
36.0,technician,married,tertiary,1109,-328.0,no
20.0,student,single,secondary,502,261.0,yes
31.0,blue-collar,married,secondary,360,89.0,no
40.0,management,married,tertiary,194,189.0,no
56.0,technician,married,secondary,4073,239.0,no
37.0,admin.,single,tertiary,2317,114.0,no
25.0,blue-collar,single,primary,-221,250.0,no
31.0,services,married,secondary,132,148.0,no
38.0,management,divorced,unknown,0,-96.0,no
42.0,management,divorced,tertiary,16,140.0,no
44.0,services,single,secondary,106,109.0,no
44.0,entrepreneur,married,secondary,93,125.0,no
26.0,housemaid,married,tertiary,543,169.0,no
41.0,management,married,tertiary,5883,182.0,no
55.0,blue-collar,married,primary,627,247.0,no
67.0,retired,married,unknown,696,119.0,no
56.0,self-employed,married,secondary,784,149.0,no
53.0,admin.,married,secondary,105,74.0,no
68.0,retired,divorced,secondary,4189,897.0,yes
31.0,technician,married,secondary,171,81.0,no
59.0,management,married,secondary,42,40.0,no
32.0,management,single,tertiary,2536,958.0,yes
49.0,technician,married,tertiary,1235,354.0,yes
42.0,admin.,divorced,secondary,1811,150.0,no
78.0,retired,divorced,primary,229,97.0,yes
32.0,blue-collar,married,secondary,2089,132.0,yes
0.0,management,married,secondary,3935,765.0,yes
23.0,services,single,tertiary,363,16.0,no
38.0,management,single,tertiary,11971,609.0,no
36.0,management,single,tertiary,553,106.0,no
52.0,blue-collar,married,secondary,1117,365.0,no
32.0,technician,married,tertiary,396,205.0,no
32.0,technician,single,tertiary,2204,11.0,no
34.0,management,single,tertiary,872,105.0,no
55.0,blue-collar,married,primary,145,59.0,no
26.0,blue-collar,married,primary,0,425.0,no
32.0,entrepreneur,single,primary,-849,204.0,no
,admin.,married,unknown,4629,181.0,yes
45.0,blue-collar,divorced,primary,844,1018.0,yes
37.0,technician,single,secondary,228,1740.0,no
38.0,technician,single,secondary,50,98.0,no
34.0,technician,married,tertiary,1539,441.0,yes
53.0,blue-collar,married,secondary,2231,272.0,no
48.0,admin.,married,secondary,3064,159.0,no
57.0,management,married,secondary,82,140.0,no
33.0,self-employed,single,tertiary,2155,295.0,no
36.0,retired,single,secondary,101,314.0,no
54.0,technician,divorced,secondary,784,579.0,no
41.0,blue-collar,married,primary,-516,554.0,no
63.0,retired,married,secondary,415,323.0,no
48.0,management,married,tertiary,5887,227.0,no
48.0,services,married,secondary,1355,134.0,no
56.0,admin.,married,secondary,16873,223.0,no
51.0,blue-collar,divorced,secondary,203,134.0,no
31.0,services,married,secondary,338,155.0,no
29.0,technician,married,secondary,444,130.0,no
41.0,management,married,secondary,0,630.0,no
32.0,technician,single,tertiary,360,164.0,no
37.0,management,married,tertiary,0,268.0,yes
42.0,entrepreneur,divorced,tertiary,2,380.0,no
31.0,management,single,tertiary,6248,154.0,no
41.0,services,married,tertiary,412,154.0,no
56.0,retired,married,secondary,344,221.0,no
54.0,management,divorced,tertiary,3222,67.0,no
41.0,blue-collar,divorced,secondary,174,367.0,no
40.0,technician,single,secondary,591,87.0,no
50.0,blue-collar,divorced,primary,388,701.0,no
40.0,unemployed,married,secondary,219,204.0,no
27.0,admin.,divorced,secondary,451,652.0,yes
60.0,retired,married,primary,5,63.0,no
28.0,admin.,single,secondary,177,150.0,no
52.0,services,married,secondary,657,398.0,yes
37.0,management,married,tertiary,1315,224.0,yes
51.0,blue-collar,married,primary,1466,406.0,no
41.0,technician,single,secondary,879,60.0,no
35.0,blue-collar,single,primary,293,521.0,no
38.0,admin.,married,secondary,424,279.0,no
34.0,blue-collar,married,secondary,1831,203.0,no
39.0,blue-collar,married,primary,111,201.0,no
34.0,blue-collar,married,primary,455,372.0,no
27.0,services,single,secondary,-195,391.0,yes
32.0,management,single,tertiary,3616,165.0,no
57.0,blue-collar,married,secondary,14093,231.0,no
41.0,unknown,single,tertiary,1567,291.0,no
41.0,admin.,married,tertiary,5426,149.0,no
30.0,admin.,single,tertiary,261,233.0,no
36.0,blue-collar,divorced,secondary,2843,473.0,no
31.0,unemployed,single,primary,406,736.0,yes
36.0,blue-collar,married,secondary,0,337.0,no
38.0,management,single,tertiary,493,553.0,no
49.0,technician,married,secondary,5996,345.0,no
57.0,services,single,primary,3777,65.0,no
34.0,management,single,secondary,524,9.0,no
32.0,management,single,tertiary,574,259.0,no
37.0,blue-collar,married,secondary,427,371.0,no
33.0,self-employed,married,tertiary,483,280.0,no
56.0,unemployed,married,primary,3391,243.0,yes
27.0,housemaid,married,primary,0,435.0,no
21.0,student,single,secondary,2488,258.0,yes
58.0,management,married,tertiary,1517,7.0,no
32.0,self-employed,married,secondary,217,317.0,no
33.0,blue-collar,single,secondary,22,76.0,no
25.0,student,single,secondary,331,170.0,yes
25.0,technician,single,secondary,505,386.0,yes
30.0,services,married,secondary,1808,83.0,no
22.0,admin.,single,secondary,4111,65.0,no
39.0,blue-collar,married,primary,52,69.0,no
46.0,management,divorced,tertiary,25,564.0,no
31.0,admin.,divorced,secondary,1890,588.0,no
45.0,blue-collar,married,primary,419,113.0,no
32.0,technician,married,secondary,2693,16.0,no
36.0,blue-collar,married,secondary,-231,779.0,no
51.0,management,single,tertiary,-55,281.0,no
34.0,self-employed,single,tertiary,462,1877.0,yes
24.0,unemployed,single,secondary,119,51.0,no
45.0,technician,single,secondary,586,32.0,no
32.0,blue-collar,single,secondary,228,176.0,no
77.0,retired,divorced,tertiary,4659,161.0,yes
41.0,blue-collar,married,primary,168,187.0,no
37.0,blue-collar,married,primary,0,24.0,no
43.0,blue-collar,married,unknown,-715,67.0,no
48.0,admin.,married,unknown,0,85.0,no
27.0,technician,single,secondary,769,317.0,no
33.0,management,single,tertiary,0,-98.0,no
29.0,admin.,single,secondary,428,54.0,no
34.0,management,single,tertiary,0,71.0,no
52.0,management,married,tertiary,-970,489.0,yes
60.0,management,married,unknown,6313,39.0,no
32.0,management,divorced,tertiary,948,204.0,no
32.0,management,single,tertiary,0,455.0,no
56.0,services,divorced,unknown,1877,86.0,no
31.0,management,single,tertiary,874,190.0,no
42.0,admin.,married,secondary,323,280.0,no
35.0,management,married,tertiary,106,588.0,no
56.0,retired,married,primary,1906,45.0,no
48.0,technician,married,secondary,1152,168.0,no
46.0,admin.,married,secondary,179,194.0,no
37.0,technician,single,unknown,391,103.0,no
41.0,entrepreneur,married,unknown,89,333.0,no
36.0,management,single,tertiary,442,102.0,no
45.0,unemployed,divorced,primary,-249,92.0,no
55.0,entrepreneur,married,secondary,8104,213.0,no
39.0,technician,married,secondary,501,289.0,no
35.0,technician,divorced,secondary,308,77.0,no
55.0,admin.,married,secondary,602,324.0,yes
55.0,technician,married,secondary,273,84.0,no
27.0,self-employed,single,secondary,50,168.0,no
34.0,technician,married,secondary,1641,380.0,no
34.0,blue-collar,married,tertiary,20,10.0,no
25.0,admin.,single,secondary,4590,199.0,no
41.0,admin.,single,secondary,-256,-35.0,no
43.0,services,married,secondary,978,82.0,no
28.0,management,single,tertiary,80,676.0,yes
31.0,admin.,single,secondary,2104,455.0,no
78.0,housemaid,married,secondary,499,80.0,no
45.0,blue-collar,divorced,secondary,1269,549.0,no
48.0,technician,married,tertiary,310,135.0,no
32.0,blue-collar,single,secondary,1143,412.0,no
42.0,technician,married,secondary,2980,101.0,no
37.0,management,single,tertiary,37,253.0,no
40.0,admin.,single,secondary,462,272.0,no
32.0,admin.,married,secondary,1031,84.0,no
42.0,management,married,tertiary,9009,135.0,no
43.0,admin.,married,secondary,-465,166.0,no
44.0,admin.,married,secondary,5181,18.0,no
37.0,admin.,married,secondary,176,147.0,no
37.0,unknown,married,unknown,1699,63.0,no
37.0,admin.,married,tertiary,0,65.0,no
28.0,technician,single,tertiary,172,194.0,no
32.0,services,single,secondary,0,333.0,no
34.0,admin.,single,secondary,6979,14.0,no
40.0,admin.,divorced,secondary,6,140.0,no
34.0,services,married,secondary,-62,109.0,no
34.0,self-employed,married,tertiary,1972,61.0,no
34.0,admin.,married,tertiary,899,377.0,no
37.0,services,single,secondary,21,96.0,no
36.0,technician,married,secondary,23,152.0,no
56.0,retired,married,secondary,-1206,382.0,yes
49.0,blue-collar,married,primary,0,97.0,no
33.0,self-employed,married,secondary,215,543.0,no
30.0,management,single,tertiary,1372,240.0,no
36.0,services,married,secondary,1981,48.0,no
23.0,student,single,secondary,9216,471.0,no
57.0,retired,divorced,secondary,39,354.0,no
27.0,blue-collar,single,secondary,5563,435.0,no
38.0,services,married,secondary,1,152.0,no
42.0,technician,married,tertiary,782,285.0,no
75.0,retired,married,secondary,3771,185.0,yes
34.0,technician,single,tertiary,992,301.0,no
48.0,technician,married,secondary,1526,273.0,no
35.0,technician,single,tertiary,2658,768.0,yes
39.0,management,divorced,tertiary,1315,1337.0,no
29.0,blue-collar,single,tertiary,455,403.0,yes
45.0,technician,single,tertiary,0,139.0,no
42.0,technician,married,secondary,2030,196.0,no
29.0,technician,married,secondary,1599,115.0,no
38.0,services,single,secondary,-196,60.0,no
56.0,retired,married,secondary,1333,17.0,no
36.0,technician,single,secondary,9149,141.0,no
25.0,blue-collar,single,secondary,-350,95.0,no
38.0,technician,married,tertiary,432,10.0,no
57.0,self-employed,married,secondary,11494,198.0,no
31.0,management,married,tertiary,-253,220.0,no
42.0,management,married,tertiary,372,654.0,yes
45.0,technician,married,secondary,1410,71.0,no
30.0,blue-collar,married,secondary,975,256.0,no
49.0,blue-collar,married,primary,305,834.0,no
49.0,services,married,secondary,400,151.0,no
53.0,retired,married,tertiary,-22,20.0,no
37.0,technician,married,secondary,4030,178.0,no
49.0,blue-collar,married,primary,365,59.0,no
41.0,self-employed,married,primary,204,111.0,no
54.0,management,married,primary,1691,186.0,no
32.0,services,single,secondary,406,227.0,no
33.0,technician,married,secondary,-204,297.0,no
33.0,technician,married,secondary,359,210.0,no
36.0,blue-collar,married,primary,123,9.0,no
35.0,technician,married,tertiary,0,112.0,no
52.0,unknown,married,secondary,142,112.0,no
40.0,entrepreneur,married,tertiary,3571,222.0,no
44.0,technician,single,secondary,33,195.0,no
45.0,blue-collar,single,secondary,0,768.0,no
30.0,student,single,secondary,3096,123.0,no
48.0,technician,divorced,secondary,20,145.0,no
33.0,blue-collar,married,secondary,3576,124.0,no
57.0,technician,married,unknown,206,216.0,no
