price,kms_driven,owner,age,power,brand
35000.0,17654.0,First Owner,3.0,110.0,TVS
119900.0,11000.0,First Owner,4.0,350.0,Royal Enfield
600000.0,110.0,First Owner,8.0,675.0,Triumph
65000.0,16329.0,First Owner,4.0,180.0,TVS
80000.0,10000.0,First Owner,3.0,150.0,Yamaha
53499.0,25000.0,First Owner,6.0,150.0,Yamaha
85000.0,8200.0,First Owner,3.0,160.0,Honda
45000.0,12645.0,First Owner,3.0,100.0,Hero
145000.0,9190.0,First Owner,3.0,350.0,Royal Enfield
88000.0,19000.0,Second Owner,7.0,500.0,Royal Enfield
72000.0,20000.0,First Owner,7.0,150.0,Yamaha
95000.0,9665.0,First Owner,4.0,250.0,Yamaha
78000.0,9900.0,First Owner,4.0,200.0,Bajaj
29499.0,20000.0,First Owner,8.0,100.0,Bajaj
29900.0,20000.0,First Owner,7.0,125.0,Bajaj
90000.0,11574.0,First Owner,3.0,200.0,Bajaj
120000.0,23000.0,First Owner,3.0,200.0,Bajaj
48000.0,24725.0,First Owner,5.0,150.0,Suzuki
240000.0,15025.0,Second Owner,3.0,302.0,Benelli
29900.0,20000.0,First Owner,7.0,125.0,Bajaj
120000.0,23000.0,First Owner,3.0,200.0,Bajaj
48000.0,24725.0,First Owner,5.0,150.0,Suzuki
46500.0,3500.0,First Owner,2.0,110.0,Hero
121700.0,24520.0,First Owner,5.0,500.0,Royal Enfield
45000.0,23000.0,First Owner,6.0,150.0,Yamaha
78000.0,9900.0,First Owner,4.0,200.0,Bajaj
20000.0,29305.0,First Owner,16.0,125.0,Hero
20800.0,30500.0,Second Owner,7.0,125.0,Honda
50000.0,19000.0,First Owner,8.0,150.0,Bajaj
81200.0,9100.0,First Owner,2.0,160.0,Honda
88000.0,21914.0,First Owner,3.0,200.0,Bajaj
80000.0,20000.0,Second Owner,4.0,150.0,Yamaha
40900.0,15000.0,First Owner,6.0,220.0,Bajaj
180000.0,17700.0,First Owner,4.0,390.0,KTM
40000.0,30000.0,First Owner,8.0,150.0,Honda
70000.0,100000.0,Second Owner,8.0,200.0,KTM
98800.0,39000.0,First Owner,5.0,350.0,Royal Enfield
65000.0,43000.0,First Owner,6.0,150.0,Honda
190500.0,4550.0,First Owner,2.0,500.0,Royal Enfield
179000.0,3400.0,First Owner,2.0,200.0,KTM
70000.0,45000.0,First Owner,8.0,350.0,Royal Enfield
45000.0,36100.0,First Owner,6.0,220.0,Bajaj
78000.0,8500.0,First Owner,13.0,350.0,Royal Enfield
110000.0,2550.0,First Owner,2.0,220.0,Bajaj
85000.0,18000.0,First Owner,6.0,350.0,Royal Enfield
38000.0,35000.0,First Owner,9.0,200.0,Bajaj
55346.0,38000.0,First Owner,10.0,350.0,Royal Enfield
28000.0,45000.0,First Owner,2.0,110.0,Mahindra
37000.0,10800.0,First Owner,8.0,150.0,Hero
97000.0,4400.0,First Owner,3.0,150.0,Suzuki
40000.0,357000.0,First Owner,8.0,150.0,Yamaha
90000.0,15300.0,First Owner,7.0,350.0,Royal Enfield
60000.0,30000.0,First Owner,5.0,160.0,TVS
21900.0,30000.0,Second Owner,7.0,125.0,Honda
40000.0,64000.0,First Owner,7.0,220.0,Bajaj
475000.0,11500.0,Second Owner,3.0,600.0,Benelli
34500.0,17056.0,First Owner,5.0,110.0,Honda
25000.0,172082.0,First Owner,9.0,150.0,Yamaha
30200.0,45000.0,First Owner,7.0,150.0,Suzuki
65000.0,35000.0,First Owner,5.0,220.0,Bajaj
25000.0,38000.0,First Owner,9.0,150.0,Bajaj
935000.0,2500.0,First Owner,2.0,900.0,Kawasaki
107100.0,15438.0,Second Owner,3.0,350.0,Royal Enfield
80000.0,6000.0,First Owner,3.0,220.0,Bajaj
88000.0,19000.0,First Owner,5.0,350.0,Royal Enfield
94700.0,32700.0,First Owner,4.0,200.0,KTM
12200.0,46643.0,First Owner,14.0,100.0,Hero
106000.0,19000.0,First Owner,6.0,350.0,Royal Enfield
29500.0,40700.0,First Owner,12.0,220.0,Bajaj
290000.0,11350.0,First Owner,7.0,650.0,Kawasaki
110000.0,1600.0,First Owner,6.0,350.0,Royal Enfield
27000.0,44410.0,First Owner,10.0,125.0,Bajaj
65000.0,9800.0,First Owner,11.0,350.0,Royal Enfield
150000.0,15000.0,First Owner,3.0,350.0,Royal Enfield
55786.0,68000.0,Second Owner,7.0,223.0,Hero
45000.0,17757.0,First Owner,8.0,180.0,Bajaj
146000.0,3900.0,First Owner,2.0,250.0,Yamaha
115000.0,23700.0,First Owner,4.0,350.0,Royal Enfield
